year,Hourly.Salary,Sex_male,Race_hispanic,Race_white,Education_bachelors_degree,Education_high_school,Education_less_than_hs,Education_some_college
2022,16.52,False,True,False,False,False,True,False
2021,16.74,False,True,False,False,False,True,False
2020,17.02,False,True,False,False,False,True,False
2019,16.11,False,True,False,False,False,True,False
2018,15.94,False,True,False,False,False,True,False
2017,15.92,False,True,False,False,False,True,False
2016,15.45,False,True,False,False,False,True,False
2015,15.25,False,True,False,False,False,True,False
2014,14.66,False,True,False,False,False,True,False
2013,14.62,False,True,False,False,False,True,False
2012,14.8,False,True,False,False,False,True,False
2011,14.96,False,True,False,False,False,True,False
2010,15.04,False,True,False,False,False,True,False
2009,15.41,False,True,False,False,False,True,False
2008,15.08,False,True,False,False,False,True,False
2007,15.19,False,True,False,False,False,True,False
2006,14.9,False,True,False,False,False,True,False
2005,14.96,False,True,False,False,False,True,False
2004,15.13,False,True,False,False,False,True,False
2003,15.27,False,True,False,False,False,True,False
2002,15.18,False,True,False,False,False,True,False
2001,14.88,False,True,False,False,False,True,False
2000,14.67,False,True,False,False,False,True,False
1999,14.61,False,True,False,False,False,True,False
1998,14.57,False,True,False,False,False,True,False
1997,14.07,False,True,False,False,False,True,False
1996,13.95,False,True,False,False,False,True,False
1995,13.95,False,True,False,False,False,True,False
1994,14.33,False,True,False,False,False,True,False
1993,14.6,False,True,False,False,False,True,False
1992,14.87,False,True,False,False,False,True,False
1991,14.99,False,True,False,False,False,True,False
1990,15.05,False,True,False,False,False,True,False
1989,15.46,False,True,False,False,False,True,False
1988,15.79,False,True,False,False,False,True,False
1987,15.76,False,True,False,False,False,True,False
1986,16.1,False,True,False,False,False,True,False
1985,16.08,False,True,False,False,False,True,False
1984,16.21,False,True,False,False,False,True,False
1983,16.43,False,True,False,False,False,True,False
1982,16.73,False,True,False,False,False,True,False
1981,17.07,False,True,False,False,False,True,False
1980,17.42,False,True,False,False,False,True,False
1979,17.95,False,True,False,False,False,True,False
1978,17.29,False,True,False,False,False,True,False
1977,17.59,False,True,False,False,False,True,False
1976,17.52,False,True,False,False,False,True,False
1975,17.3,False,True,False,False,False,True,False
1974,17.68,False,True,False,False,False,True,False
1973,18.06,False,True,False,False,False,True,False
2022,21.94,False,True,False,False,True,False,False
2021,22.28,False,True,False,False,True,False,False
2020,22.7,False,True,False,False,True,False,False
2019,21.64,False,True,False,False,True,False,False
2018,21.5,False,True,False,False,True,False,False
2017,21.26,False,True,False,False,True,False,False
2016,21.0,False,True,False,False,True,False,False
2015,20.81,False,True,False,False,True,False,False
2014,20.34,False,True,False,False,True,False,False
2013,20.31,False,True,False,False,True,False,False
2012,20.5,False,True,False,False,True,False,False
2011,20.67,False,True,False,False,True,False,False
2010,21.06,False,True,False,False,True,False,False
2009,21.42,False,True,False,False,True,False,False
2008,20.93,False,True,False,False,True,False,False
2007,21.04,False,True,False,False,True,False,False
2006,21.17,False,True,False,False,True,False,False
2005,21.07,False,True,False,False,True,False,False
2004,21.33,False,True,False,False,True,False,False
2003,21.5,False,True,False,False,True,False,False
2002,21.39,False,True,False,False,True,False,False
2001,21.1,False,True,False,False,True,False,False
2000,20.8,False,True,False,False,True,False,False
1999,20.67,False,True,False,False,True,False,False
1998,20.39,False,True,False,False,True,False,False
1997,19.95,False,True,False,False,True,False,False
1996,19.62,False,True,False,False,True,False,False
1995,19.68,False,True,False,False,True,False,False
1994,19.88,False,True,False,False,True,False,False
1993,19.65,False,True,False,False,True,False,False
1992,19.65,False,True,False,False,True,False,False
1991,19.77,False,True,False,False,True,False,False
1990,19.74,False,True,False,False,True,False,False
1989,20.07,False,True,False,False,True,False,False
1988,20.66,False,True,False,False,True,False,False
1987,20.6,False,True,False,False,True,False,False
1986,20.61,False,True,False,False,True,False,False
1985,20.4,False,True,False,False,True,False,False
1984,20.3,False,True,False,False,True,False,False
1983,20.43,False,True,False,False,True,False,False
1982,20.65,False,True,False,False,True,False,False
1981,20.68,False,True,False,False,True,False,False
1980,20.9,False,True,False,False,True,False,False
1979,21.62,False,True,False,False,True,False,False
1978,21.52,False,True,False,False,True,False,False
1977,21.5,False,True,False,False,True,False,False
1976,21.76,False,True,False,False,True,False,False
1975,21.55,False,True,False,False,True,False,False
1974,21.6,False,True,False,False,True,False,False
1973,22.22,False,True,False,False,True,False,False
2022,24.81,False,True,False,False,False,False,True
2021,24.92,False,True,False,False,False,False,True
2020,25.44,False,True,False,False,False,False,True
2019,24.0,False,True,False,False,False,False,True
2018,23.7,False,True,False,False,False,False,True
2017,23.31,False,True,False,False,False,False,True
2016,23.35,False,True,False,False,False,False,True
2015,23.17,False,True,False,False,False,False,True
2014,22.48,False,True,False,False,False,False,True
2013,22.5,False,True,False,False,False,False,True
2012,22.56,False,True,False,False,False,False,True
2011,22.9,False,True,False,False,False,False,True
2010,23.56,False,True,False,False,False,False,True
2009,23.82,False,True,False,False,False,False,True
2008,23.52,False,True,False,False,False,False,True
2007,23.84,False,True,False,False,False,False,True
2006,23.69,False,True,False,False,False,False,True
2005,23.76,False,True,False,False,False,False,True
2004,24.11,False,True,False,False,False,False,True
2003,24.19,False,True,False,False,False,False,True
2002,24.25,False,True,False,False,False,False,True
2001,24.05,False,True,False,False,False,False,True
2000,23.68,False,True,False,False,False,False,True
1999,23.36,False,True,False,False,False,False,True
1998,23.02,False,True,False,False,False,False,True
1997,22.54,False,True,False,False,False,False,True
1996,22.11,False,True,False,False,False,False,True
1995,22.04,False,True,False,False,False,False,True
1994,22.26,False,True,False,False,False,False,True
1993,22.27,False,True,False,False,False,False,True
1992,22.26,False,True,False,False,False,False,True
1991,22.49,False,True,False,False,False,False,True
1990,22.58,False,True,False,False,False,False,True
1989,22.61,False,True,False,False,False,False,True
1988,23.03,False,True,False,False,False,False,True
1987,23.17,False,True,False,False,False,False,True
1986,23.12,False,True,False,False,False,False,True
1985,22.6,False,True,False,False,False,False,True
1984,22.37,False,True,False,False,False,False,True
1983,22.28,False,True,False,False,False,False,True
1982,22.43,False,True,False,False,False,False,True
1981,22.47,False,True,False,False,False,False,True
1980,22.73,False,True,False,False,False,False,True
1979,23.2,False,True,False,False,False,False,True
1978,23.25,False,True,False,False,False,False,True
1977,22.97,False,True,False,False,False,False,True
1976,23.49,False,True,False,False,False,False,True
1975,23.3,False,True,False,False,False,False,True
1974,23.32,False,True,False,False,False,False,True
1973,24.08,False,True,False,False,False,False,True
2022,41.6,False,True,False,True,False,False,False
2021,41.32,False,True,False,True,False,False,False
2020,41.65,False,True,False,True,False,False,False
2019,39.61,False,True,False,True,False,False,False
2018,38.87,False,True,False,True,False,False,False
2017,38.65,False,True,False,True,False,False,False
2016,38.73,False,True,False,True,False,False,False
2015,37.96,False,True,False,True,False,False,False
2014,36.47,False,True,False,True,False,False,False
2013,37.0,False,True,False,True,False,False,False
2012,36.76,False,True,False,True,False,False,False
2011,36.44,False,True,False,True,False,False,False
2010,37.42,False,True,False,True,False,False,False
2009,37.3,False,True,False,True,False,False,False
2008,37.04,False,True,False,True,False,False,False
2007,37.23,False,True,False,True,False,False,False
2006,36.99,False,True,False,True,False,False,False
2005,36.89,False,True,False,True,False,False,False
2004,36.78,False,True,False,True,False,False,False
2003,37.14,False,True,False,True,False,False,False
2002,37.26,False,True,False,True,False,False,False
2001,37.07,False,True,False,True,False,False,False
2000,36.44,False,True,False,True,False,False,False
1999,35.76,False,True,False,True,False,False,False
1998,34.97,False,True,False,True,False,False,False
1997,33.44,False,True,False,True,False,False,False
1996,32.5,False,True,False,True,False,False,False
1995,32.86,False,True,False,True,False,False,False
1994,32.72,False,True,False,True,False,False,False
1993,32.16,False,True,False,True,False,False,False
1992,32.16,False,True,False,True,False,False,False
1991,31.87,False,True,False,True,False,False,False
1990,32.21,False,True,False,True,False,False,False
1989,31.89,False,True,False,True,False,False,False
1988,33.41,False,True,False,True,False,False,False
1987,33.19,False,True,False,True,False,False,False
1986,32.67,False,True,False,True,False,False,False
1985,31.5,False,True,False,True,False,False,False
1984,31.07,False,True,False,True,False,False,False
1983,30.73,False,True,False,True,False,False,False
1982,30.55,False,True,False,True,False,False,False
1981,30.17,False,True,False,True,False,False,False
1980,30.04,False,True,False,True,False,False,False
1979,30.57,False,True,False,True,False,False,False
1978,30.9,False,True,False,True,False,False,False
1977,31.07,False,True,False,True,False,False,False
1976,31.46,False,True,False,True,False,False,False
1975,31.45,False,True,False,True,False,False,False
1974,31.69,False,True,False,True,False,False,False
1973,32.8,False,True,False,True,False,False,False
2022,53.22,False,True,False,False,False,False,False
2021,53.45,False,True,False,False,False,False,False
2020,53.74,False,True,False,False,False,False,False
2019,51.57,False,True,False,False,False,False,False
2018,51.03,False,True,False,False,False,False,False
2017,49.4,False,True,False,False,False,False,False
2016,49.64,False,True,False,False,False,False,False
2015,48.42,False,True,False,False,False,False,False
2014,47.27,False,True,False,False,False,False,False
2013,48.54,False,True,False,False,False,False,False
2012,48.47,False,True,False,False,False,False,False
2011,47.56,False,True,False,False,False,False,False
2010,48.8,False,True,False,False,False,False,False
2009,49.12,False,True,False,False,False,False,False
2008,47.55,False,True,False,False,False,False,False
2007,47.31,False,True,False,False,False,False,False
2006,47.23,False,True,False,False,False,False,False
2005,47.09,False,True,False,False,False,False,False
2004,47.48,False,True,False,False,False,False,False
2003,46.79,False,True,False,False,False,False,False
2002,47.36,False,True,False,False,False,False,False
2001,46.23,False,True,False,False,False,False,False
2000,45.99,False,True,False,False,False,False,False
1999,46.02,False,True,False,False,False,False,False
1998,44.49,False,True,False,False,False,False,False
1997,43.68,False,True,False,False,False,False,False
1996,43.35,False,True,False,False,False,False,False
1995,43.27,False,True,False,False,False,False,False
1994,43.46,False,True,False,False,False,False,False
1993,41.45,False,True,False,False,False,False,False
1992,40.94,False,True,False,False,False,False,False
1991,40.71,False,True,False,False,False,False,False
1990,39.95,False,True,False,False,False,False,False
1989,39.8,False,True,False,False,False,False,False
1988,41.12,False,True,False,False,False,False,False
1987,40.55,False,True,False,False,False,False,False
1986,39.88,False,True,False,False,False,False,False
1985,38.31,False,True,False,False,False,False,False
1984,37.45,False,True,False,False,False,False,False
1983,36.78,False,True,False,False,False,False,False
1982,36.08,False,True,False,False,False,False,False
1981,35.32,False,True,False,False,False,False,False
1980,35.53,False,True,False,False,False,False,False
1979,36.19,False,True,False,False,False,False,False
1978,37.56,False,True,False,False,False,False,False
1977,37.36,False,True,False,False,False,False,False
1976,37.5,False,True,False,False,False,False,False
1975,38.41,False,True,False,False,False,False,False
1974,38.37,False,True,False,False,False,False,False
1973,38.16,False,True,False,False,False,False,False
2022,17.99,True,True,False,False,False,True,False
2021,18.34,True,True,False,False,False,True,False
2020,18.76,True,True,False,False,False,True,False
2019,17.55,True,True,False,False,False,True,False
2018,17.7,True,True,False,False,False,True,False
